2025-09-24 16:50:05, 93
2025-09-24 16:50:07, 74
2025-09-24 16:50:09, 85
2025-09-24 16:50:11, 30
2025-09-24 16:50:13, 91
2025-09-24 16:50:15, 25
2025-09-24 16:50:17, 76
2025-09-24 16:50:19, 81
2025-09-24 16:50:21, 47
2025-09-24 16:50:23, 63
2025-09-24 16:50:25, 32
2025-09-24 16:50:27, 54
2025-09-24 16:50:29, 16
2025-09-24 16:50:31, 49
2025-09-24 16:50:33, 45
2025-09-24 16:50:35, 55
2025-09-24 16:50:37, 17
2025-09-24 16:50:39, 7
2025-09-24 16:50:41, 55
2025-09-24 16:50:44, 50
2025-09-24 16:50:46, 53
2025-09-24 16:50:48, 24
2025-09-24 16:50:50, 25
2025-09-24 16:50:52, 41
2025-09-24 16:50:54, 15
2025-09-24 16:50:56, 11
2025-09-24 16:50:58, 46
2025-09-24 16:51:00, 52
2025-09-24 16:51:02, 63
2025-09-24 16:51:04, 83
2025-09-24 16:51:06, 40
2025-09-24 16:51:08, 89
2025-09-24 16:51:10, 90
2025-09-24 16:51:12, 82
2025-09-24 16:51:14, 14
2025-09-24 16:51:16, 17
